This is MadNLP version v0.8.3, running with cuDSS v0.1.0

Number of nonzeros in constraint Jacobian............:   407296
Number of nonzeros in Lagrangian Hessian.............:   281600

Total number of variables............................:   112750
                     variables with only lower bounds:    56320
                variables with lower and upper bounds:      110
                     variables with only upper bounds:        0
Total number of equality constraints.................:   112640
Total number of inequality constraints...............:    14080
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:    14080

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 148  1.8386674e+01 1.67e-05 5.83e-03  -3.8 1.81e-01    -  1.00e+00 1.00e+00h  1
 149  1.8333325e+01 5.72e-05 6.22e-02  -3.8 9.58e-01    -  1.51e-01 1.89e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.8264340e+01 4.73e-05 1.54e-01  -3.8 3.00e-01    -  6.36e-01 1.00e+00h  1
 151  1.8191314e+01 1.08e-05 1.52e-02  -3.8 1.12e-01  -0.9 1.00e+00 1.00e+00h  1
 152  1.8115342e+01 4.40e-05 1.92e-01  -3.8 1.22e+00  -1.4 9.49e-02 1.61e-01h  1
 153  1.8195348e+01 2.11e-05 3.58e-03  -3.8 1.05e-01    -  1.00e+00 1.00e+00h  1
 154  1.8151874e+01 4.27e-05 2.76e-02  -3.8 5.51e-01    -  1.70e-01 1.91e-01h  1
 155  1.8122715e+01 4.50e-05 1.33e-01  -3.8 2.23e+00    -  1.12e-01 6.32e-02h  2
 156  1.8043097e+01 1.42e-05 1.44e-02  -3.8 1.38e-01  -1.0 1.00e+00 1.00e+00h  1
 157  1.7958238e+01 5.86e-05 3.72e-02  -3.8 6.45e-01  -1.5 3.54e-01 3.84e-01h  1
 158  1.8014348e+01 2.73e-05 4.49e-03  -3.8 9.93e-02    -  1.00e+00 1.00e+00h  1
 159  1.7969971e+01 3.37e-05 3.17e-02  -3.8 7.74e-01    -  1.42e-01 1.61e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  1.7906963e+01 8.75e-06 1.10e-02  -3.8 1.18e-01  -1.0 1.00e+00 1.00e+00h  1
 161  1.7802320e+01 2.20e-05 3.40e-02  -3.8 4.27e-01  -1.5 7.03e-01 7.12e-01H  1
 162  1.7843693e+01 2.26e-05 2.93e-03  -3.8 1.13e-01    -  1.00e+00 1.00e+00h  1
 163  1.7799529e+01 2.00e-05 6.56e-03  -3.8 9.66e-01    -  1.43e-01 1.47e-01H  1
 164  1.7733322e+01 1.23e-05 1.14e-02  -3.8 1.37e-01  -1.1 1.00e+00 1.00e+00h  1
 165  1.7642006e+01 4.45e-05 9.44e-02  -3.8 7.94e-01  -1.6 3.92e-01 3.32e-01H  1
 166  1.7641515e+01 4.43e-05 2.51e-01  -3.8 5.14e-01    -  1.86e-01 4.16e-03h  1
 167  1.7519287e+01 5.83e-05 9.12e-01  -3.8 8.95e-01    -  6.46e-02 7.24e-01H  1
 168  1.7650216e+01 3.07e-06 1.55e-01  -3.8 5.27e-01    -  1.00e+00 9.14e-01H  1
 169  1.7606205e+01 2.01e-05 2.41e-01  -3.8 1.48e+00    -  3.70e-02 1.27e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.7545426e+01 1.77e-05 1.19e-02  -3.8 1.61e-01  -1.1 1.00e+00 1.00e+00h  1
 171  1.7488658e+01 1.16e-05 1.54e-02  -3.8 7.68e-02  -0.7 1.00e+00 1.00e+00h  1
 172  1.7449981e+01 1.87e-05 1.44e-01  -3.8 2.33e+00  -1.2 7.15e-02 2.79e-02h  1
 173  1.7469524e+01 4.91e-05 1.76e-01  -3.8 2.87e-01    -  6.12e-01 1.00e+00h  1
 174  1.7400116e+01 6.03e-05 1.89e-01  -3.8 1.11e+00  -1.7 1.40e-01 1.68e-01h  1
 175  1.7331372e+01 5.37e-05 2.30e-01  -3.8 3.72e-01  -1.2 6.24e-01 4.06e-01h  1
 176  1.7344645e+01 4.40e-05 1.56e-01  -3.8 2.07e-01    -  6.97e-01 1.00e+00h  1
 177  1.7285235e+01 2.68e-05 2.06e-01  -3.8 5.66e-01  -1.7 2.87e-01 2.12e-01h  1
 178  1.7202844e+01 3.36e-05 2.77e-02  -3.8 2.15e-01  -1.3 1.00e+00 1.00e+00h  1
 179  1.7135263e+01 2.46e-05 1.71e-02  -3.8 1.22e-01  -0.9 1.00e+00 9.76e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  1.7205607e+01 1.76e-05 3.44e-03  -3.8 7.52e-02    -  1.00e+00 1.00e+00h  1
